user_id,kyc_speed_sec,account_age_days,is_high_risk_career,is_high_risk_income,career_income_risk,career_freq,is_app_user,reg_hour,reg_is_night,reg_is_weekend,reg_to_kyc1_days,twd_dep_count,twd_dep_sum,twd_dep_mean,twd_dep_std,twd_dep_max,twd_wit_count,twd_wit_std,twd_wit_max,twd_net_flow,twd_withdraw_ratio,twd_wit_ip_ratio,crypto_dep_count,crypto_dep_mean,crypto_dep_max,crypto_wit_count,crypto_wit_sum,crypto_wit_mean,crypto_wit_max,crypto_currency_diversity,crypto_protocol_diversity,crypto_wallet_hash_nunique,crypto_internal_count,crypto_internal_peer_count,trading_mean,trading_max,trading_buy_ratio,trading_market_order_ratio,swap_count,swap_sum,ip_unique_count,ip_night_ratio,ip_max_shared,fund_stay_sec,pagerank_score,connected_component_size,total_tx_count,first_to_last_tx_days,weekend_tx_ratio,dep_to_first_wit_hours,twd_to_crypto_out_ratio,tx_amount_cv,rapid_kyc_then_trade,crypto_out_in_ratio,same_day_in_out_count,tx_interval_mean,tx_interval_std,tx_interval_min,tx_interval_median,amount_p90_p10_ratio,active_days,if_score,hbos_score,lof_score,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15
U38711,,-0.3099577,,,,,-0.10821381,-0.32007793,,,,,,,,,,,,0.08313295,,,,,,,-0.12670344,,,,,,,,-0.08390769,,,0.12974197,,-0.14670172,,,,,,,,,0.10636431,,,,,,,,,,-0.35544068,,,,,,,,,,,,,,,,,,,,,
U26625,,-0.22784698,,,,,-0.13635625,-0.34819105,,,,,,,,,,,,,,,,-0.18260062,,,-0.13868904,,,,,,,,,-0.1395119,,,,-0.17632742,,,,,,,,,-0.36146724,,,,,,,,,,0.28473234,,,,,,,,,,,,,,,,,,-0.12960151,,,
U32474,,-0.23617132,,,,,,,,,,,,,,,,,0.19551443,0.14147978,,,0.2606079,-0.25857577,,,,,,,,0.1499182,,,,,,,,,,,,,,,,-0.1663486,,,,0.15183759,,,,,,,0.13841817,,,,,,,,,,,,,,,,,,-0.16346548,,,
U03444,,-0.21553105,,,,,,,,,,,,,,,,,,,,,,-0.1495951,,,0.2656999,,,-0.15964751,,,,,,,-0.13231093,,,-0.1304425,,,,,,,,,-0.43698886,,,,,,,-0.15555888,-0.16600302,,0.25647673,,,,,,,,,,,,,,,,,,,,,
U104560,,-0.32179567,,,,,-0.1562001,-0.2671304,,,,,,,,,,,0.091719285,0.16600727,,,,,,,-0.092198975,,,,,,,,,,,,-0.09735061,-0.31276655,,,,,,,,,0.14988163,,,,,,,-0.09964354,,,,,,,,,,,,,,,,,,,,,,,,
U18406,,-0.38918462,,,,0.11796523,-0.21274063,-0.15567793,,,,,,,,,,,,,,,,,,,0.12313238,,,,,,,,,,-0.15058161,,,-0.2308608,,-0.37552485,,,,,,,0.13246475,,,,,,,,,,0.16642721,,,,,,,,,,,,,,,,,,,,,
U02370,,-0.43651217,,,,,-0.17215997,,,,,,0.1401633,,0.08444599,,,,,,,,,,,,0.291428,,,,,,,,,,,,0.1271702,0.59250706,,-0.29397264,,,,,,,,,,,,,,,,-0.079731524,-0.4382433,,,,,,,,,,,,,,,,,,,,,
U33614,,-0.26481545,,,,,-0.12331649,-0.39831087,,,,,,,,,,,,0.095197916,,,,-0.23641719,-0.1491608,,-0.13165316,,,,,,,,,,,,,-0.23999782,,,,,,,,,0.092939295,,,,,,,,,,0.24873927,,,,,,,,,,,,,,,,,,,,,
U29947,,-0.35119426,,,,,-0.124712855,-0.34601265,,,,,,,,,,,,-0.16071063,,,,-0.24824223,,,,,,,,,,,,,,,,-0.14428592,,-0.38458878,,,,,,,,,,,,,,-0.11911757,-0.15187353,,-0.23823477,,,,,,,,,,,,,,,,,,,,,
U01730,,-0.4360552,,,,-0.37517178,-0.19732626,-0.26476797,,,,,,,,,,,,-0.18406165,,,,,,,,,,,,,,,,,,,,-0.24499865,,-0.30327848,,,,,,,-0.23837255,,,,,,,-0.16866623,,,0.1485924,,,,,,,,,,,,,,,,,,,,,
U08196,,-0.3967678,,,,,-0.18857886,,,,,,0.1658864,,,,,,,,,,,,,,0.3561246,,0.16091737,,,,,,,,-0.14968403,,,-0.18663163,,,,,,,,,,,0.11358627,,,,,,,,0.11417947,,,,,,,,,,,,,,,,,,-0.10001904,,,
U05111,,-0.42477804,,,,-0.39724723,-0.17341039,,,,,,,,,,,,,,,,,,,,0.20643063,,0.146166,,,,,,,,,,,-0.1905828,,,,,,,-0.14253046,,-0.45396984,,,,,,,-0.18703867,,,-0.41791466,,,,,,,,,,,,,,,,,,,,,
U26629,,-0.27321374,,,,,,-0.36810535,,,,,-0.1388092,,,,,,,-0.20320332,,,-0.13049172,,,,-0.18546061,-0.14515056,,,,,,,,,,,,-0.24952766,,-0.26591232,,,,,,,-0.30201894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U01903,,-0.26484507,,,,,-0.14031158,,,,,,,,,,,,,,,,0.20520602,-0.10991361,-0.12035215,,0.1795249,,,,,,,,,,,,,-0.12759937,,-0.21449894,,,,,,,-0.40624097,,-0.10508983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U34403,,-0.26329088,,,,,-0.14454363,-0.26304877,,,,,,,,,,,0.15290867,0.095425665,,,,,-0.13118054,,-0.11835601,,,,,,,,,,,,,-0.20594797,,,,,,,,,0.08900295,,,,,,,-0.14759469,,,,,,,,,,,,,,,,,,,,,,,,
U02377,,-0.34174323,,,,-0.11864545,-0.16156201,-0.13472165,,,,,,,,,,,,-0.14229587,,,,,,,-0.13527352,,,,,,,,,,-0.11706186,,,-0.20661603,,-0.29112712,,,,,,,0.1090736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U03178,,-0.28837225,,,,,,,,,,,-0.13453107,,,,,,,,,,,-0.23122472,-0.11927143,,0.2611624,,,,,,,,,,,,,0.2474724,,-0.15126102,,,,,,,,,,0.10880854,,,,,,,0.28131935,,,,,,,,,,,,,,,,,,-0.16040215,,,
U104598,,-0.2981841,,,,-0.32970345,-0.12564562,,,,,,,,,,,,,0.13012204,,,-0.12946941,,,,-0.13738993,,,,,,,,,,,,,-0.22938605,,-0.17321847,,,,,,-0.17988853,,,,,,,,,,,0.2816027,,,,,,,,,,,,,,,,,,,,,
U03727,,-0.22823015,,,,,-0.12991312,,,,,,,,,,,,,,,,,-0.1307722,-0.10803051,,-0.10454551,,,,,,,,,,,,0.12153882,0.23285295,,,,,,,,,,,,,,,,,-0.13623291,0.17338574,0.3022412,,,,,,,,,,,,,,,,,,,,,
U104602,,-0.24190032,,,,,-0.1602392,,,,,,,,,,,,0.1985302,-0.20134644,,,,,,,-0.15398261,,,,,,,,,,,,,-0.26587707,,-0.27552933,,,,,,,0.15768556,,,,,,,,-0.19569494,,0.213447,,,,,,,,,,,,,,,,,,,,,
U104606,,-0.2570818,,,,,-0.17372113,,,,,,,,,,,,,-0.27886474,,,-0.13357237,,,,-0.1900926,,,,,,,,,,,,0.14236836,-0.35535586,,,,,,,,,-0.24346562,,,,,,,-0.28308108,,,-0.19701663,,,,,,,,,,,,,,,,,,,,,
U23223,,-0.4393817,,,,,-0.20728076,,,,,,-0.12738912,,,,,,,-0.18214777,,,,,,,0.44026265,,,,,,,,,,-0.12773605,,,-0.17989814,,,,,,,,,,,-0.121135406,,,,,,,,-0.15339297,,,,,,,,,,,,,,,,,,-0.1325659,,,
U104609,,-0.27207366,,,,,-0.16033027,,,,,,,,,,,,,-0.288147,,,-0.10483992,,,,-0.20088126,,,,,,,,,,,,-0.102962084,-0.250688,,,,,,,,,0.14419495,,,,,,,-0.11806186,,,-0.32076102,,,,,,,,,,,,,,,,,,,,,
U34408,,-0.2007885,,,,,-0.13835514,,,,,,,,,,,,,,,,,-0.1713845,-0.16279702,,-0.13123061,,,,,,,,,-0.12035171,,,,-0.16043483,,,,,,,,,,,,,,,,,-0.09693499,-0.10688655,0.3095778,,,,,,,,,,,,,,,,,,,,,
U104613,,-0.27940327,,,,,-0.12072543,,,,,,,,,,,,,-0.23993027,,,,,,,-0.18794903,,,,,,,,,,,,,-0.26694578,,,,,,,,,0.12489616,,,,,,,,,,-0.32890007,,,,,,,,,,,-0.12467866,-0.15354027,,,,,,,,-0.12646194,
U02383,,-0.40896297,,,,,-0.16881177,-0.28403565,,,,-0.09197316,,,,,,,,,,,,,,,0.49056464,,,,,,,,,,-0.115651876,,,-0.14594346,,-0.3958215,,,,,0.14024933,,,,,,,,,,,,-0.35263357,,,,,,,,,,,,,,,,,,,,,
U104618,,-0.26790053,,,,,-0.14704219,-0.22178595,,,,,,,,,,,,,,,,,,,-0.23321497,,,,,,,,,,,,-0.12641609,-0.3284399,,,,,,,,,0.11831485,,,,,,,-0.31468627,,-0.1656794,-0.36627197,,,,,,,,,,,,,,,,,,,,,
U104621,,-0.26205602,,,,,,,,,,,,,,,,,,-0.25465354,,,-0.10501014,,,,-0.20462719,,,,,,,,,,,,-0.11660846,-0.26605627,,,,,,,,,0.13843308,,,,,,,-0.10790114,,,-0.35025448,,,,,,,0.101054676,,,,,,,,,,,,,,
U02201,,-0.43471998,,,,,-0.16153672,-0.3266478,,,,,,,,,,,,,,,,,,,0.22560722,,,-0.16697402,,,,,,,-0.13346179,,,-0.21103047,,-0.21163875,,,,,,,-0.23842047,,,,,,,,,,-0.34127018,,,,,,,,,,,,,,,,,,,,,
U29953,,-0.30163234,,,,,-0.17610769,,,,,,,,,,,,,,,,,-0.21558829,-0.14637987,,,,,,,,,,,,,,,-0.18309727,,,,,,,-0.17896548,,-0.19535013,,,,,,,,,,0.22946271,,,,,,,,,,,-0.13953954,,,,,,,-0.13289112,,,
U34409,,-0.27305534,,,,,-0.15815501,-0.32902372,,,,,,,,,,,,,,,,-0.14327861,-0.152235,,-0.14097825,,,,,,,,,-0.11995684,,,,-0.25191197,,,,,,,,,-0.17418733,,,,,,,,,,0.23527113,,,,,,,,,,,,,,,,,,,,,
U34539,,-0.3224473,,,,,-0.11304938,,,,,,,,,,,,,0.15393469,,,,0.12840879,,,,,,,,,,,,,,,,-0.1276969,0.21100666,,0.120249234,,,,,,,,,,,,,-0.08950142,,,-0.30133343,,,,,,,,,,,,,,,,,,,,,-0.087381154
U21424,,-0.35217813,,,,,-0.19417402,-0.27684605,,,,,,,,,,,,,,,,,,,0.123239204,,,,,,,,,,-0.13893329,,,0.30637112,,0.11823838,,,,,,,,,,,,,,-0.13494198,-0.13554133,,,,,,,,,,,,,,,,,,,,-0.18223841,,,
U02994,,-0.38020718,,,,0.13743874,-0.15948462,-0.12929133,,,,,,,,,,,,-0.12690204,,,,,,,-0.14553322,,,,,,,,,,,,,-0.22785684,,,,,,,,,,,-0.23795384,,,,,-0.1669669,,,0.22791573,,,,,,,,,,,,,,,,,,,,,
U32446,,-0.32525656,,,,,-0.21232857,-0.19579297,,,,,,,,,,,,0.11004614,,,,,-0.1342478,,,,,,,,,,,,,,,-0.25170717,,,,,,,,,-0.14817674,,,,,,,-0.1534283,-0.13880205,,,,,,,,,,,,,,,,,,,,-0.14034177,,,
U104643,,-0.27932006,,,,,-0.1914007,,,,,,,,,,,,,,,,-0.12139677,,,,-0.12930697,,,,,,,,,,,,,-0.28940362,,,,,,,,,-0.4388517,,,,,,,,,0.14290401,0.21548544,,,,,,,,,,,,-0.19743918,,,,,,-0.12598337,,,
U01417,,-0.18794093,,,,0.24716453,,,,,,,,,,,,,,0.13183457,,,,,,,-0.113838136,,,,,,,,,-0.09513948,,,,-0.1716649,,,,,,,,,0.1300173,,,,,,,,,,-0.294405,,,,,,,0.10545864,,,,,,,,,,,,,0.12164522,
U35439,,-0.14451021,,,,,,,,,,,,,,,,,0.12402335,,,,0.23264907,-0.20155106,-0.13386744,,,,,,,0.12930293,,,,,,,,-0.116124585,,,,,,,,,-0.124364994,,,,,,,,,,0.17275846,,,,,,,,,,,,,,,,,,-0.14979038,,,
U26637,,-0.2950071,,,,,,-0.23815683,,,,,,,,,,,,,,,,-0.18841723,,,-0.14928102,,,,,,,,,-0.12061004,,,,-0.14263083,,-0.29287353,,,,,,,,-0.25115448,,,,,,,-0.12914494,,-0.55837876,,,,,,,,,,,,,,,,,,,,,
U104657,,-0.26971897,,,,,,-0.35158196,,,,,,,,,,,,0.11917586,,,-0.119217366,,,,-0.12874751,,,,,,,,,-0.11575753,,,,-0.28006113,,,,0.17297909,,,,,-0.19959807,,,,,,,,,,0.32847998,,,,,,,,,,,,,,,,,,,,,
U104658,,-0.32029253,,,,,-0.12284058,,,,,,,,,,,,,0.12958907,,,-0.10791378,,,,-0.1317042,,,,,,,,,,,,,-0.21443217,,,,,,,,,0.13169263,,,,,,,-0.15014346,,,-0.41526368,,,,,,,,,,,,,-0.13733006,,,,,,,,
U104661,,-0.34097877,,,,,-0.14764743,,,,,,,,,,,,0.20838518,0.20016275,,,-0.11473649,,,,-0.1017755,,,,,,,,,,,,,-0.32496262,,,,,,,,,-0.28922787,,,,,,,-0.31999695,,,-0.20795344,,,,,,,,,,,,,,,,,,,,,
U104663,,-0.31680018,,,,,-0.15572673,-0.18703796,,,,,,,,,,,,0.121449046,,,-0.12590718,,,,-0.1348982,,,,,,,,,,,,,-0.21988936,,,,,,,,,0.12727806,,,,,,,,,,-0.32418752,,,,,,,,,,,,,,,,,,,,-0.12830384,
U104664,,-0.3224673,,,,,-0.13596201,,,,,,,,,,,,,,,,,,,,-0.15166083,,,,,,,,,,,,,-0.23469287,,,,,,,,,,,,,,,,-0.17180382,,,-0.53385395,,,,,-0.1257786,,,,,,,,-0.1714048,,,-0.18601035,-0.15086573,,,,
U104666,,-0.24277665,,,,,-0.12824981,,,,,,,,,,,,,-0.24323328,,,-0.106216416,,,,-0.1953254,,,,,,,,,,,,,-0.24891429,,,,,,,,,0.12247976,,,,,,,-0.121504314,,,-0.24704808,,,,,,,,,,,,,,,,,,,,-0.11661929,
U104671,-0.30794472,-0.28966752,,,,,,,,,,,-0.13019246,,,,,,,-0.30793664,,,-0.13883848,,,,-0.22993417,,,,,,,,,,,,,-0.28666487,,,,,,,,,-0.4059799,,,,,,,,,,-0.31728286,,,,,-0.18129666,,,,,,,,,,,,,,,,
U10100,,-0.24983867,,,,,-0.13848564,,,,,,0.21210855,,,,,,,,,,,-0.21942353,-0.121338464,,0.2744121,,,,,,,,,,,,,-0.15630506,,-0.1584309,,,,,,,,,,,,,,-0.12517783,,,0.11516191,,,,,,,,,,,,,,,,,,,,,
U29958,,-0.35731637,,,,,-0.13463488,,,,,,,,,,,,,-0.112337895,,,,,,,-0.14561641,,,,,,,,,,,,,-0.19100921,,,,,,,-0.12036063,,,,,,,,,-0.14317532,,,-0.23531187,,,,,,,,,,,,-0.1343884,,,,,,,,-0.119875416,
U03989,,-0.3237907,,,,,-0.20060976,-0.33076203,,,,,,,,,,,,-0.107654765,,,-0.11780456,,,,-0.14721747,,,,,,,,,,,,-0.100688644,-0.2766049,,-0.29793683,,,,,,,-0.43223566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U104687,,-0.2921104,,,,0.2037598,,-0.13451247,,,,,,,,,,,,0.11230657,,,,,,,-0.108131416,,,,,,,,,,,,,-0.20985314,,,,,,,,,0.13364413,,,,,,,-0.1113864,,,-0.38399756,,,,,-0.099526286,,,,,,,,,,,,,,,,
U104690,,-0.25661543,,,,,-0.12649623,,,,,,,,,,,,,-0.21842866,,,,,,,-0.18192264,,,,,,,,,,,,,-0.26034963,,,,,,,,,0.1257048,,,,,,,,,,-0.3438471,,,,,,,,,,,-0.12583095,-0.17605662,,,,,,,,-0.11679218,
U104694,,-0.25775436,,,,,-0.15336809,-0.20142345,,,,,,,,,,,,-0.18720932,,,,,,,-0.1928325,,,,,,,,,,,,,-0.26896918,,,,,,,,,0.13269998,,,,,,,-0.12118167,,,-0.33918908,,,,,,,,,,,,,,,,,,,,-0.109624736,
U03735,,-0.41678497,,,,,-0.15937348,,,,,,,,,,,,,,,,,,,,0.16141596,,,,,,,,,,,,,-0.24274854,,-0.2340073,,,,,-0.10181818,,0.10708341,,,,,,,-0.3289208,,,-0.21403879,,,,,,,,,,,,,,,,,,,,0.083752476,
U104703,,-0.28898948,,,,-0.41782236,,,,,,,,,,,,,,-0.2849531,,,-0.11317405,,,,-0.21392722,,,,,,,,,,,,,-0.2524345,,-0.3047429,,,,,,,0.1365103,,,,,,,-0.11396434,,,-0.3822549,,,,,,,,,,,,,,,,,,,,,
U104705,,-0.30761522,,,,,,-0.2599454,,,,,-0.12838368,,,,,,,-0.18014681,,,,,,,-0.20239061,-0.120185964,,,,,,,,,,,,-0.2995603,,,,,,,,,0.14605504,,,,,,,-0.13476908,,,-0.15515824,,,,,,,,,,,,,,,,,,,,,
U34419,,-0.30700207,,,,,-0.18003517,-0.09220007,,,,,,,,,,,,0.116857916,,,,-0.31308782,-0.1804052,,-0.12996669,,,,,,,,,,,,,-0.24319719,,,,,,,,,0.091663726,,,,,,,,,,0.30456263,,,,,,,,,,,,,,,,,,,,,
U29709,,-0.38433605,,,,,-0.16615702,,,,,,-0.12152064,,,,,,,-0.17428797,,,,,,,-0.16969061,,,,,,,,,,-0.14742133,,,-0.21537855,,,,,,,-0.105668165,,0.12441963,,,,,,,,,,0.17037426,,,,,,,,,,,,,,,,,,,,,
U01864,,-0.34180722,,,,0.089116946,-0.17949373,-0.30772182,,,,,,,,,,,,,,,,,-0.092611566,,,,,,-0.16364557,,,,,,,,,-0.24150798,,,,,,,,,-0.40237734,,,,,,,,,,0.13150442,,,,,,,,,,,,,,,,,,,,0.07402976,
U23228,,-0.44537002,,,,,-0.17272542,,,,,-0.11549824,,,,,,,,,,,,,,,0.21404627,,0.16212413,,,,,,,,,,,-0.19447587,,,,,,,-0.14493042,,-0.44199842,,,,,,,-0.13546973,,,-0.39984947,,,,,,,,,,,,,,,,,,,,,
U21433,,-0.26946798,,,,,-0.13346596,-0.23431328,,,,,-0.12471829,,,,,,,-0.16855901,,,,,,,-0.16703784,,,,,,,,,,,,,-0.14160743,,,,,,,,-0.16453652,,-0.22306332,,,,,,,,,-0.44635472,,,,,,,,,,,,,,,,,,,,,
U21991,,-0.3664023,,,,-0.3859702,-0.12281411,,,,,,,,,,,,,,,,,,,,0.22746237,,0.10677724,,,,,,,,,,,-0.1605543,,-0.41623193,,,,,,,0.10655375,,-0.10624862,,,,,,,,-0.4497176,,,,,,,,,,,,,,,,,,,,,
U104722,,-0.28687933,,,,,-0.09752509,,,,,,,,,,,,0.1498198,0.15398954,,,,,,,-0.118925646,,,,,,,,,,,,,-0.22144504,,,,,,,,,0.1242861,,,,,,,-0.18538144,,,-0.5175129,,,,,-0.12611932,,,,,,,,,,,,,,,,
U34545,,-0.20338733,,,,,-0.098639734,-0.13471197,,,,,,,,,,,0.13848509,,,,,-0.2477609,-0.15736064,,-0.13388982,,,,,,,,,,,,,-0.17885798,,,,,,,,,0.08935191,,,,,,,,,,0.32058826,,,,,,,,,,,,,,,,,,,,,
U29711,,-0.3218044,,,,,-0.13464035,,,,,,-0.112970196,,,,,,,-0.15803672,,,,-0.10734169,,,-0.15652475,,,,,,,,,,,,,-0.22241597,,-0.2915508,,,,,,,,,,,,,,,,0.10861938,0.30943614,,,,,,,,,,,,,,,,,,,,,
U104727,,-0.26253328,,,,,,,,,,,,,,,,,,-0.18803927,,,,,,,-0.23956838,,-0.13414493,,,,,,,,,,-0.14304295,-0.3656141,,,,,,,,,-0.22173578,,,,,,,-0.28136197,,-0.20793971,-0.26887745,,,,,,,,,,,,,,,,,,,,,
U104728,,-0.30980104,,,,,-0.1275809,,,,,,,,,,,,0.16171867,0.16039656,,,,,,,-0.121992216,,,,,,,,,,,,,-0.21547402,,,,,,,,,0.13719518,,,,,,,-0.15725188,,,-0.5016678,,,,,-0.1189884,,,,,,,,,,,,,,,,
U03737,,-0.40280184,0.11274108,,,,-0.135934,,,,,,,,,,,,,,,,,,,,0.22798228,,,,,,,,,,-0.10688422,,,-0.15220797,,-0.37265632,,,,,,,,,,,,,,-0.19432762,-0.15569685,,-0.31008056,,,,,,,,,,,,,,,,,,,,,
U104729,,-0.23725726,,,,,-0.16297112,-0.27179632,,,,,,,,,,,,-0.23308474,,,,,,,-0.19788747,,,,,,,,,,,,-0.105062395,-0.2864004,,,,,,,,,0.13289863,,,,,,,-0.15847673,,,-0.13176417,,,,,,,,,,,,,,,,,,,,,
U23229,,-0.52470994,,,,,-0.17191994,,,,,,0.14607503,,,,,,,,,,,,,,0.35042432,,0.14966704,,,,,,,,,0.3370233,,-0.15343875,,-0.36536497,,,,,,,-0.47920412,,,,,,,,,,-0.3070505,,,,,,,,,,,,,,,,,,,,,
U03205,,-0.30372798,,,,,-0.19334967,-0.30754158,,,,,-0.11716348,,,,,,,-0.17871915,,,,,,,-0.18987635,,,,,,,,,,,,,-0.28505915,,,,,,,,,0.13510717,,,,,,,,,0.12712076,0.21575552,,,,,,,,,,,,,,,,,,,,,
U03741,,-0.32071304,,,,,-0.15531372,,,,,,0.1974193,,,,,,,,,,,,,,0.40166697,,,,,,,,,-0.12597704,,0.12659903,,-0.13981868,,,,,,,,,,,-0.15198763,,,,,,,,0.22167899,,,,,,,,,,,,,,,,,,-0.12033652,,,
U104740,,-0.22118503,,,,,-0.15287822,,,,,,-0.108862214,,,,,,,-0.13772267,,,,,,,-0.18337588,,,,,,,,,,,,,-0.32001567,,,,,,,,,0.13029364,,,,,,,,,,0.17122592,,,,,,,,,,,,-0.19505712,,,,,,,,-0.107822284,
U03208,,-0.39026052,,,,,-0.095170386,,,,,0.095355935,,,,,,,,,,,,,,,0.25366053,,,,,,,,,,-0.08198114,0.27885768,,-0.12044082,,-0.12615882,,,,,0.087336,,,,,,,,,,,,-0.59208786,,,,,,,,,,,,,,,,,,,,,
U03209,,-0.3145881,,,,,-0.21051024,,,,,,0.10059358,,,,,,,,,,,,,,0.23868582,,0.14939004,,,,,,,,-0.15480612,,,-0.22046599,,0.09306039,,,,,-0.1590526,,0.1122667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U40555,,-0.30977055,,,,,-0.12022754,,,,,,,,,,,,0.2241458,-0.1308892,,,,,,,-0.1166734,,,,,,,,,,,,,-0.2916548,,,,0.16019365,,,,,,,,,,,,-0.13216293,,,,,,,,,,,,,,,-0.16406833,,,-0.16628063,,,,,,
U34428,,-0.23650719,,,,-0.36656606,,,,,,,,,,,,,,,,,,-0.3592824,-0.24452941,,-0.14076681,,,,,,,,,,,,,-0.18937027,,,,,,,,,,,,,,,,-0.14773688,,-0.124646895,-0.31100726,,,,,-0.09648473,,,,,,,,,,,,,,,,
U104759,,-0.21632509,,,,,-0.1656427,,,,,,,,,,,,,-0.19621164,,,-0.13502386,,,,-0.2020214,,-0.106312744,,,,,,,,,,-0.11822943,-0.30435377,,-0.22580309,,,,,,,-0.52916163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U18439,,-0.34412846,,,,,-0.1538246,-0.1974729,,,,,-0.14286633,,,,,,,-0.14693704,,,,,,,-0.16282097,,,,,,,,,,,0.27339077,,-0.2035944,,,,,,,,,-0.39365068,,,,,,,,,,,,,,,,,,,,,,-0.15988964,,,,,,,,,
